card_name,quantity
Abyss Soldier,2
Amazoness Archer,1
Asura Priest,1
B. Skull Dragon,1
Barrel Behind the Door,2
Big Bang Shot,1
Black Luster Soldier - Envoy of the Beginning,1
Blade Knight,4
Blowback Dragon,2
Book of Moon,1
Book of Taiyou,2
Brain Control,1
Breaker the Magical Warrior,1
Byser Shock,2
Call of the Haunted,3
Cannon Soldier,1
Card Destruction,1
Chaos Sorcerer,3
Charubin the Fire Knight,2
Cipher Soldier,1
Compulsory Evacuation Device,3
Creature Swap,2
Cursed Seal of the Forbidden Spell,2
Cyber Jar,1
Cyber Saurus,1
Cyber Stein,1
D.D. Warrior Lady,1
Dark Balter the Terrible,1
Dark Blade the Dragon Knight,1
Dark Flare Knight,1
Dark Magician of Chaos,2
Dark Mimic LV1,1
Dark Paladin,1
Dark Scorpion - Cliff the Trap Remover,1
Darkfire Dragon,2
Dekoichi the Battlechanted Locomotive,4
Delinquent Duo,2
Des Wombat,2
Desert Sunlight,1
Dimension Fusion,3
Don Zaloog,1
Dragoness the Wicked Knight,2
Dust Tornado,5
Empress Judge,1
Enemy Controller,1
Exchange,1
Exiled Force,1
Fiend Skull Dragon,2
Flame Ghost,3
Flame Swordsman,1
Flower Wolf,1
"Fusilier Dragon, the Dual-Mode Beast",1
Fusionist,2
Gaia the Dragon Champion,1
Gatling Dragon,1
Giant Trunade,3
Giltia the D. Knight,2
Golem Sentry,1
Graceful Charity,1
Gravekeeper's Spy,3
Gravity Bind,2
Heavy Slump,1
Heavy Storm,1
Injection Fairy Lily,1
Jar of Greed,3
Jinzo,1
Jirai Gumo,2
Jowgen the Spiritualist,2
Kaminari Attack,1
Karbonala Warrior,3
King Dragun,2
King Tiger Wanghu,2
Kuriboh,1
Kwagar Hercules,1
Kycoo the Ghost Destroyer,3
Lightning Vortex,2
Magical Marionette,1
Magical Merchant,1
Magician of Faith,3
Manju of the Ten Thousand Hands,3
Mask of Darkness,3
Master of Oz,1
Mataza the Zapper,1
Metal Dragon,1
Metamorphosis,3
Mind Control,2
Mirror Force,1
Mobius the Frost Monarch,2
Mokey Mokey King,1
Monster Gate,3
Monster Reincarnation,1
Morphing Jar,1
Musician King,1
Mystic Tomato,2
Mystical Space Typhoon,1
Mystik Wok,2
Newdoria,1
Night Assailant,2
Ninja Grandmaster Sasuke,1
Nobleman of Crossout,2
Ojama King,3
Parshath,2
Phoenix Wing Wind Blast,2
Poison of the Old Man,1
Pot of Greed,1
Premature Burial,3
Rabid Horseman,1
Raigeki Break,5
Reaper on the Nightmare,1
Reasoning,3
Reinforcement of the Army,2
Return From The Different Dimension,2
Ring of Destruction,2
Roaring Ocean Snake,1
Roulette Barrel,1
Royal Decree,3
Ryu Senshi,2
Sacred Crane,1
Sakuretsu Armor,3
Sangan,1
Sanwitch,1
Scapegoat,3
Shining Angel,2
Sinister Serpent,1
Skilled Dark Magician,1
Smashing Ground,2
Snatch Steal,1
Solemn Judgment,3
Spear Dragon,1
Spell Canceller,2
Spirit Reaper,1
St. Joan,1
Summoner of Illusions,1
Super Robolady,1
Super Roboyarou,1
Swift Gaia the Fierce Knight,1
Swords of Revealing Light,1
The Last Warrior from Another Planet,1
Thousand Dragon,1
Thousand-Eyes Restrict,3
Threatening Roar,3
Thunder Dragon,3
Token Thanksgiving,1
Torrential Tribute,1
Trap Dustshoot,3
Tribe-Infecting Virus,1
Tsukuyomi,2
Twin-Headed Thunder Dragon,2
United We Stand,1
Upstart Goblin,2
Widespread Ruin,2
Xing Zhen Hu,1
Zaborg the Thunder Monarch,2
Zombyra the Dark,2
